,DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
9495,2011-02-27,2011-03-05,SUDESTE,SAO PAULO,ETANOL HIDRATADO,2384,R$/l,1.835,0.09,1.499,2.299,0.246,0.049,1.589,0.075,0.9638,1.8728,0.047
9496,2011-02-27,2011-03-05,SUL,PARANA,ETANOL HIDRATADO,567,R$/l,1.94,0.096,1.639,2.199,0.226,0.049,1.714,0.151,1.15,2.0889,0.088
9497,2011-02-27,2011-03-05,SUL,RIO GRANDE DO SUL,ETANOL HIDRATADO,561,R$/l,2.233,0.111,1.979,2.597,0.258,0.05,1.975,0.107,1.7225,2.4087,0.054
9498,2011-02-27,2011-03-05,SUL,SANTA CATARINA,ETANOL HIDRATADO,384,R$/l,2.174,0.143,1.879,2.54,0.176,0.066,1.998,0.088,1.6948,2.1967,0.044
9499,2011-03-06,2011-03-12,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,80,R$/l,2.25,0.001,2.25,2.259,0.33,0.0,1.92,0.055,1.8446,1.985,0.029
9500,2011-03-06,2011-03-12,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,255,R$/l,2.117,0.091,1.77,2.23,0.274,0.043,1.843,0.081,1.6612,1.9909,0.044
9501,2011-03-06,2011-03-12,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,140,R$/l,2.035,0.068,1.86,2.39,0.376,0.033,1.659,0.042,1.61,1.7328,0.025
9502,2011-03-06,2011-03-12,CENTRO OESTE,MATO GROSSO DO SUL,ETANOL HIDRATADO,132,R$/l,2.055,0.092,1.759,2.4,0.281,0.045,1.774,0.088,1.661,2.3516,0.05
9503,2011-03-06,2011-03-12,NORDESTE,ALAGOAS,ETANOL HIDRATADO,97,R$/l,2.059,0.064,1.89,2.16,0.214,0.031,1.845,0.065,1.558,1.9535,0.035
9504,2011-03-06,2011-03-12,NORDESTE,BAHIA,ETANOL HIDRATADO,421,R$/l,2.097,0.109,1.83,2.299,0.322,0.052,1.775,0.065,1.52,2.0578,0.037
